<|https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR-lllmstxt|>
## Metric BaerCoil® Kits – JG Engineering Supplies Ltd      01-4730900
[Skip to content](https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR#main-content)

**Welcome to our new website**

**New collections added!** [Learn more](https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR# "#")

Country/Region

Andorra (EUR €)

[JG Engineering Supplies Ltd 01-4730900](https://www.jgengineering.ie/)

SearchProduct type

All

[Basket](https://www.jgengineering.ie/cart)

Menu

- [Home](https://www.jgengineering.ie/)
- [BaerCoil Thread Repair](https://www.jgengineering.ie/collections/baercoil-thread-repair-helicoil-kit-inserts)
- [Circlips](http://www.jgengineering.ie/collections/circlips-ireland)
- [About Us](https://www.jgengineering.ie/pages/about-us)
- [Blog](https://www.jgengineering.ie/blogs/news)
- [Contact US](http://www.jgengineering.ie/pages/contact-us)
- [Shipping](https://www.jgengineering.ie/pages/shipping)

## Always better with a Discount

Copy the code and save 10%

FIXIT10Copy code

Copied

1. [Home](https://www.jgengineering.ie/)
2. [Metric BaerCoil® Kits](https://www.jgengineering.ie/collections/metric-baercoil-kits)

# Metric BaerCoil® Kits

(0 products)


# [Buy Now](http://www.jgengineering.ie/products/m2-x-0-4-baercoil-kit-helicoil "Buy Now")

**[BaerCoil Thread Repair Kit M 2 x 0,4](http://www.jgengineering.ie/products/m2-x-0-4-baercoil-kit-helicoil)**

**[BaerCoil Thread Repair Kit M 2,2 x 0,45](http://www.jgengineering.ie/products/m2-2-x-0-45-baercoil-kit-helicoil)**

**[BaerCoil Thread Repair Kit M 2,5 x 0,45](http://www.jgengineering.ie/products/m2-5-x-0-45-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 16 x 2,0**](http://www.jgengineering.ie/products/m16-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 18 x 1,5**](http://www.jgengineering.ie/products/m18-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 18 x 2,0**](http://www.jgengineering.ie/products/m18-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 18 x 2,5**](http://www.jgengineering.ie/products/m18-x-2-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 20 x 1,5**](http://www.jgengineering.ie/products/m20-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 20 x 2,0**](http://www.jgengineering.ie/products/m20-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 20 x 2,5**](http://www.jgengineering.ie/products/m20-x-2-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 22 x 1,5**](http://www.jgengineering.ie/products/m22-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 22 x 2,0**](http://www.jgengineering.ie/products/m22-x-2-0-baercoil-kit)

[**BaerCoil Thread Repair Kit M 22 x 2,5**](http://www.jgengineering.ie/products/m22-x-2-5-baercoil-kits-helicoil)

[**BaerCoil Thread Repair Kit M 24 x 1,5**](http://www.jgengineering.ie/products/m24-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 24 x 2,0**](http://www.jgengineering.ie/products/m24-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 24 x 3,0**](http://www.jgengineering.ie/products/m24-x-3-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 39 x 2,0**](http://www.jgengineering.ie/products/m39-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 39 x 4,0**](http://www.jgengineering.ie/products/m39-x-4-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 42 x 2,0**](http://www.jgengineering.ie/products/m42-x-2-0-baercoil-kit)

**[**BaerCoil Thread Repair Kit M 42 x 3,0**](http://www.jgengineering.ie/products/m42-x-3-0-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 42 x 4,0**](http://www.jgengineering.ie/products/m42-x-4-0-baercoil-kit-helicoil)

Sort by

Alphabetically, A-Z

Compare

View asListGrid

* * *

No products found

## Your cart

Close

Your cart is empty

[Start shopping](https://www.jgengineering.ie/collections/all)

Subtotal:€0.00 EUR

Loading...

PreviousNext

- [**Got a Question**\\
\\
Send us an email](https://www.jgengineering.ie/pages/contact-us)
- **Check order status**





Updates & tracking

- **Returns & exchanges**





All you need to know

- **Price-match guarantee**





Our promise to you


[Back to top](https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR#)

## About Us

Founded in 1979 by John Grant, JG Engineering Supplies Ltd is a family-owned business with a proud history of serving the engineering and hardware industries. Before establishing the company, John brought a wealth of experience from his roles as a Senior Engineering Purchaser at Semperit Tyres Ireland Ltd and as a Mechanical Engineering Lecturer at Bolton Street College.

JG Engineering Supplies began with a focus on circlips, pins of all shapes and sizes, and helicoils, quickly expanding into a full range of fasteners in stainless steel, high-tensile, and other specialist materials. Over the past 45 years, we have grown and diversified, now stocking over 40,000 products, including a comprehensive hardware selection and also sell online under www.mydiy.ie

At JG Engineering Supplies, we take pride in our expert technical support, ensuring every customer—regardless of order size—receives the highest level of service. If you need it, we have it, and if we don’t, we’ll get it for you.

## links

- [Terms and Conditions](https://www.jgengineering.ie/pages/terms-and-conditions)

## links

- [Terms and Conditions](https://www.jgengineering.ie/pages/terms-and-conditions)

## Newsletter

Sign up for exclusive offers, and news about new products.

Email

Subscribe

Payment methods accepted

- American Express
- Apple Pay
- Bancontact
- Google Pay
- iDEAL
- Maestro
- Mastercard
- Shop Pay
- Union Pay
- Visa

Country/Region

Andorra (EUR €)

* * *

© 2025 [JG Engineering Supplies Ltd 01-4730900](https://www.jgengineering.ie/).[Ecommerce Software by Shopify](https://www.shopify.com/?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore)

 Compare (0)


## Compare 0/3

Close

Loading...

 Compare now

 Clear all


Loading...

Close

## Choose options

Close

Close

Need help?

Start Chat

Powered by ElevenLabs [Agents](https://elevenlabs.io/conversational-ai)

Metric BaerCoil® Kits – JG Engineering Supplies Ltd 01-4730900

www.jgengineering.ie

# www.jgengineering.ie is blocked

This page has been blocked by an extension

- Try disabling your extensions.

ERR\_BLOCKED\_BY\_CLIENT

Reload


This page has been blocked by an extension

![](<Base64-Image-Removed>)![](<Base64-Image-Removed>)

shop.app

# shop.app is blocked

This page has been blocked by an extension

- Try disabling your extensions.

ERR\_BLOCKED\_BY\_CLIENT

Reload


This page has been blocked by an extension

![](<Base64-Image-Removed>)![](<Base64-Image-Removed>)

